food;price
Pimenta do Reino Preta em Pó CHINATOWN 20g;9.19
Gelatina em Pó Sabor Cereja Dr. OETKER Caixa 20g;0.99
Cereal em Barra Sabor Cereja, Nozes, Doce de Leite e Chocolate Light TAEQ 66g com 3 Unidades;3.69
Edamame em Grãos Veggie Pacote 300g;22.49
Café Torrado e Moído Gourmet Amêndoas DO PONTO Sachê 100g;6.49
Iogurte Líquido com Polpa de Frutas Vermelhas Tipo A FAZENDA BELA VISTA 180g;1.99
Confeito Estrelinha Misto Colorido Sabor Baunilha Decor Festa Dr. OETKER Pacote 80g;10.99
Molho Americano Chipotle TABASCO 60ml;19.99
Polvilho Azedo QUALITÁ Pacote 500g;9.99
Batata Aperitivo QUALITÁ Pacote 1kg;6.99
Cappuccino Clássico QUALITÁ Pote 200g;7.99
Cappuccino com Canela QUALITÁ Lata 200g;7.99
Cappuccino com Chocolate QUALITÁ Lata 200g;7.99
Biscoito PIRAQUÊ Pizzaquê Pacote 120g;5.59
Casquinha de Camarão DAMM 330g;31.49
Torta Holandesa Mr. Bey Caixa 360g 6 Unidades;24.99
Tempero Knorr Meu Arroz Alho e Cebola 48g;4.99
Escondidinho de Purê de Carne SADIA Caixa 600g;16.39
Alho e Cebola com Ervas Finas QUALITÁ 200g;5.99
Alho e Cebola com Ervas Finas sem Sal QUALITÁ Pote 1kg;17.90
Mistura para Bolo Sabor Milho FLEISCHMANN 450g;5.69
Mistura para Bolo de Aipim FLEISCHMANN 450g;5.69
Mistura para Pão Integral FLEISCHMANN 450g;7.19
Mistura para Pão Caseiro FLEISCHMANN 450g;7.19
Capeletti com Recheio de Frango MASSA LEVE 400g;9.19
Batata Frita Ondulada Cebola e Salsa Elma Chips Ruffles Pacote 167g Embalagem Econômica;10.49
Pudim Sabor Coco ROYAL 50g;2.69
Pó para Flan de Baunilha ROYAL 40g;2.69
Cebola Pérola Gold MISTER RABBIT 283g;11.39
Farinha de Mandioca Grossa YOKI Pacote 1kg;8.29
Biscoito Amanteigado Leite Marilan Pacote 330g;6.35
File De Polaca do Alasca PLANALTO FISH 800g ;26.79
Pipoca para Microondas Coberta com Chocolate YOKI 160g;4.69
Biscoito NESTLÉ Combina com Seu Dia 3 Cereais Pacote 126g;4.15
Biscoito Francês CASINO Délices Cappuccino Caixa 100g;27.99
